['sh', 'sh600056', '2013-01-15', '21.0', '22.77', '20.94', '22.77', '15492836.0', '346859634.0', 1.7699999999999996]
['sh', 'sh600056', '2014-02-19', '20.85', '22.96', '20.82', '22.96', '16909819.0', '383717300.0', 2.1099999999999994]
['sh', 'sh600057', '2013-11-25', '6.08', '6.65', '6.05', '6.61', '26546698.0', '169948526.0', 0.5300000000000002]
['sh', 'sh600057', '2014-10-24', '9.82', '10.89', '9.82', '10.77', '41046606.0', '437331984.0', 0.9499999999999993]
['sh', 'sh600058', '2013-02-04', '17.25', '18.96', '17.11', '18.76', '47905473.0', '876046395.0', 1.5100000000000016]
['sh', 'sh600058', '2014-12-29', '16.4', '17.98', '16.23', '17.67', '55050390.0', '949172249.0', 1.2700000000000031]
['sh', 'sh600059', '2013-10-14', '12.13', '13.11', '12.02', '12.85', '27081250.0', '344980010.0', 0.7199999999999989]
['sh', 'sh600059', '2014-05-22', '7.93', '8.42', '7.9', '8.27', '17022050.0', '137944991.0', 0.33999999999999986]
['sh', 'sh600060', '2013-04-24', '15.27', '16.74', '15.04', '16.73', '26573438.0', '422075688.0', 1.4600000000000009]
['sh', 'sh600060', '2014-09-15', '11.23', '12.5', '11.23', '12.5', '146359452.0', '1751802758.0', 1.2699999999999996]
['sh', 'sh600061', '2013-09-06', '6.33', '7.01', '6.31', '7.01', '28910250.0', '196892527.0', 0.6799999999999997]
['sh', 'sh600061', '2014-12-10', '24.15', '26.51', '22.8', '26.24', '73779473.0', '1843884214.0', 2.09]
['sh', 'sh600062', '2013-02-20', '24.52', '27.16', '24.52', '27.16', '13823859.0', '365727664.0', 2.6400000000000006]
['sh', 'sh600062', '2014-10-15', '21.22', '22.83', '21.22', '22.83', '30655081.0', '685152100.0', 1.6099999999999994]
['sh', 'sh600063', '2013-09-11', '2.19', '2.41', '2.19', '2.41', '89542497.0', '210001741.0', 0.2200000000000002]
['sh', 'sh600063', '2014-10-14', '4.28', '4.66', '4.15', '4.66', '227456175.0', '996673942.0', 0.3799999999999999]
['sh', 'sh600064', '2013-01-30', '12.12', '13.07', '12.12', '12.76', '34285769.0', '436321857.0', 0.6400000000000006]
['sh', 'sh600064', '2014-11-11', '14.85', '16.21', '14.85', '15.63', '21325536.0', '332077677.0', 0.7800000000000011]
['sh', 'sh600066', '2013-05-09', '30.18', '32.88', '30.18', '32.08', '17492364.0', '562161347.0', 1.8999999999999986]
['sh', 'sh600066', '2014-12-10', '21.21', '22.45', '21.21', '22.42', '34832380.0', '766357936.0', 1.2100000000000009]
['sh', 'sh600067', '2013-05-28', '7.88', '8.67', '7.8', '8.65', '66425416.0', '550061340.0', 0.7700000000000005]
['sh', 'sh600067', '2014-12-08', '7.38', '8.0', '7.28', '7.99', '50857731.0', '392537787.0', 0.6100000000000003]
['sh', 'sh600068', '2013-07-11', '3.85', '4.1', '3.84', '4.05', '36222785.0', '144224378.0', 0.19999999999999973]
['sh', 'sh600068', '2014-12-19', '8.46', '9.47', '8.35', '9.47', '276569828.0', '2487232833.0', 1.0099999999999998]
['sh', 'sh600069', '2013-11-19', '4.27', '4.61', '4.24', '4.59', '14613172.0', '65478501.0', 0.3200000000000003]
['sh', 'sh600069', '2014-12-04', '5.09', '5.57', '5.04', '5.57', '39095677.0', '209513542.0', 0.4800000000000004]
['sh', 'sh600070', '2013-09-12', '8.09', '8.9', '8.09', '8.77', '16667298.0', '142491969.0', 0.6799999999999997]
['sh', 'sh600070', '2014-09-26', '10.21', '11.22', '10.15', '11.22', '14143101.0', '153702379.0', 1.0099999999999998]
['sh', 'sh600071', '2013-03-29', '7.26', '7.99', '7.26', '7.89', '8788678.0', '67538464.0', 0.6299999999999999]
['sh', 'sh600071', '2014-07-30', '15.18', '16.8', '14.9', '16.8', '39004671.0', '637353404.0', 1.620000000000001]
['sh', 'sh600072', '2013-01-16', '14.9', '16.51', '14.74', '16.51', '38218051.0', '596130721.0', 1.6100000000000012]
